	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	total
	CN,US	53	77	95	94	83	140	143	322	328	462	716	1197	2049	2387	4198	3472	4257	5547	6412	6586	9090	10257	9387	10178	10833	9107	11122	108592
	GB,US	480	459	693	773	371	716	1022	977	687	820	887	1283	1547	1794	2591	2543	2413	1840	2228	2468	1377	1996	2178	2815	2106	2158	2290	41512
	DE,US	363	395	410	558	422	945	463	481	599	588	415	738	716	932	1904	1892	1397	1427	1432	1071	1549	1675	1550	1918	1762	2985	2722	31309
	JP,US	299	584	433	481	376	1149	592	976	713	578	1273	824	1141	2038	1121	1965	1151	1695	1368	1335	1299	1930	1465	1513	1480	1494	673	29946
	IN,US	153	195	99	201	289	260	398	523	444	387	538	522	578	1015	1076	1688	1848	1678	2038	1531	2030	2153	1765	1724	2597	2251	2180	30161
	CA,US	325	292	224	781	361	400	222	787	569	513	675	914	872	972	1530	1764	1195	1345	1853	1340	1376	1311	881	1281	1584	1054	1661	26082
	IT,US	285	241	288	160	209	250	305	499	405	497	265	473	517	1320	1024	951	1620	1164	939	1151	1477	877	1017	762	1107	612	727	19142
	CN,JP	129	67	66	77	167	217	258	257	349	331	288	373	537	582	599	888	807	780	1125	766	839	817	1166	1007	1694	1667	1636	17489
	DE,FR	316	310	336	391	176	416	411	246	250	428	660	343	283	757	851	609	521	628	672	698	622	706	762	961	829	499	837	14518
	DE,GB	311	410	139	346	314	308	206	206	201	175	245	328	318	390	530	865	886	686	534	829	1233	1158	706	873	1453	1062	567	15279
	CN,SG	17	15	9	9	18		11	25	7	35	60	15	97	134	245	720	835	822	670	1207	1133	1171	1242	1325	2376	1791	1651	15640
	FR,US	214	252	323	260	240		376	322	281	540	486	220	465	531	597	792	751	475	710	557	940	424	547	591	541	763	489	762	13449
	CH,DE	146	175	81	308	183		196	103	86	305	124	407	582	334	653	755	649	663	850	625	529	429	638	770	641	894	957	729	12812
	CN,GB	36		22	40	26		43	28	42	95	44	33	49	169	183	346	613	952	831	950	584	754	1086	1132	1062	1537	1516	2564	14737
	EG,SA	1			20	14		121		143	92	417	97	53	172	50	222	497	497	568	773	692	896	874	978	814	1437	1514	1651	1865	14458
