 	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
US	67630	66822	69830	74608	75567	73892	80513	89604	92299	99357	100528	99732	95163	96451	100204	103472	95600	95919	88949	77998	80491	82046	81276	74878	75966	72292	62458	
CN	4271	5283	5052	5945	7792	7923	10825	14174	17346	20495	25489	29449	36403	46358	62645	77333	89012	113062	130970	139294	153168	166572	188633	215311	204017	245063	281517	
JP	37452	39322	41690	39550	46875	46272	46114	44473	46997	45433	44858	44318	44850	47694	45265	46272	48748	46910	44054	44752	41571	43085	41485	39956	40248	39085	33952	
DE	21391	25870	24656	24115	24261	22268	21386	22081	22890	23732	22963	20994	22817	22990	26012	27397	27537	31943	30034	30672	30246	31552	30982	31724	31563	32922	26416	
IN	5355	5856	5751	6225	6916	8632	9512	10753	13333	13475	16528	18360	18499	21935	27923	30923	36293	44198	50674	48226	48027	49394	43196	45362	39911	40543	48483	
FR	14746	15836	15874	16325	17377	15651	16079	16256	14937	16034	17062	17138	16679	17893	18678	19279	18598	19444	17586	15761	15705	14780	15315	12357	13357	13536	12006	
GB	11563	11477	12018	11985	19521	16941	15894	17634	17764	17735	18692	18923	17977	18724	19186	20717	18325	19706	18473	18349	19364	18354	16791	16426	14909	13124	13152	
RU	4417	3568	4059	3470	5664	10631	9677	10427	9964	12168	10832	12188	10682	11748	12028	12724	11330	11051	11628	13381	14589	16559	17522	18282	18036	17941	18328	
ES	8844	9301	9654	9909	10589	10931	11215	12069	11338	12678	12734	13325	12926	13038	13960	13904	14556	15816	13427	11838	12795	12051	10960	10840	9260	10390	9412	
IT	10527	9692	10709	11829	12589	11451	12398	12606	13151	12931	11171	11683	13008	12289	11913	11676	9949	10556	9590	9570	7837	7297	6834	7035	6634	6271	6271	
CA	7235	5538	6840	6588	7571	6980	7218	8563	8429	8967	9403	9110	11350	12631	13027	11979	11382	10608	9692	8473	9360	7989	7460	7064	6084	7061	5621	
KR	2410	2512	3875	3853	4739	5363	6247	6707	6291	6071	6070	7215	7552	7416	11953	11126	10512	12519	14213	15053	13474	12729	12913	12419	12658	14659	12858	
CH	4741	4792	5455	4977	5319	4535	4100	6001	6438	5182	5213	4791	5662	5723	6568	6154	6675	7791	7682	7573	6980	6354	5097	7683	6916	7173	5346	
TW	2310	2953	2509	3353	3069	3478	3782	3490	4487	4346	4530	4950	4960	5935	7025	8477	8784	8566	8352	7594	7791	7433	5497	5988	5850	5435	4927	
PL	2282	2460	2683	2578	3396	3599	3697	3599	3596	4478	4166	3654	3757	3864	4226	4641	4998	5593	5922	6930	7566	5812	6865	6700	6282	5195	5522	
EG	1191	1427	1678	2080	3393	2699	3066	3641	3006	2939	3226	4072	3889	3265	3916	3587	4155	3887	2934	3980	4159	5028	5317	5762	6342	4922	4694	
CN,US	61	96	122	120	113	187	255	402	520	518	843	1261	2214	2618	4387	3796	4449	5738	6859	6945	9431	10598	9827	10491	11185	9343	11372	
