	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
CN,US	8	24	15	32	19	2	39	51	29	52	17	58	356	420	671	535	197	462	365	325	342	497	381	320	322	170	194
DE,US	104	34	83	190	108	213	131	63	55	31	19	35	177	155	315	323	363	288	275	305	251	163	259	315	202	274	229
IN,US	41	60	44	58	76	102	34	134	146	131	151	159	195	199	180	187	169	201	232	361	324	350	353	314	273	212	249
DE,ES	75	212	74	95	132	195	195	168	224	125	106	37	132	214	215	133	187	216	90	205	116	165	74	90	74	66	51
GB,US	71	18	44	52	46	95	124	94	120	198	46	91	115	164	81	145	129	96	152	134	97	181	101	110	153	146	255
ES,IT	126	93	86	66	48	68	59	144	93	70	76	155	73	89	133	196	182	159	182	168	144	100	103	224	123	69	60
DE,FR	77	29	73	91	31	90	169	53	87	56	96	48	60	187	122	101	147	140	155	172	110	142	108	96	107	68	113
CA,US	51	54	31	3	53	39	36	33	14	69	32	78	104	237	179	175	96	163	174	161	123	181	77	60	160	93	134
ES,GB	123	85	89	35	122	68	204	95	133	112	73	78	88	45	53	129	117	50	81	141	95	84	60	48	48	58	26
GB,IN	6	11	19	34	45	48	80	91	59	32	138	193	145	118	205	127	184	98	126	136	109	114	139	77	28	19	41
DE,RU	33	21	94	28	50	60	212	83	59	83	127	96	86	111	182	105	74	130	110	106	117	98	114	85	77	121	77
ES,FR	67	111	117	56	65	111	115	135	102	101	71	25	77	115	47	94	71	68	73	72	139	87	122	77	11	30	46
FR,US	47	81	44	45	122	69	138	100	30	51	47	52	127	75	172	145	52	89	135	72	72	124	74	61	79	85	95
DE,GB	40	36	84	56	80	72	57	45	66	16	104	49	61	58	90	86	95	103	97	141	69	133	98	45	80	97	131
DE,IN	11	3	9	24	8	57	145	89	61	110	58	49	31	19	185	105	151	118	201	171	169	107	68	95	62	67	59
AU,GB	1		4	10	77	118	51	44	39	34	75	78	145	66	181	70	84	148	60	93	67	108	36	67	77	52	57
IT,US	52	59	59	5	29	24	103	98	39	37	20	76	104	125	149	163	55	90	83	94	111	117	92	58	47	56	11
