	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
CN,US	1	1	26	3	32		20	41	23	27	24	17	99	108	63	158	100	113	134	111	178	103	135	110	205	61	83
CN,JP	15	24	2	3	11	33	65	22	82	32	41	9	43	46	86	73	37	36	72	22	51	52	13	99	103	58	44
DE,RU	28	14	26	28	31	180	22	43	5	32	21	12	9	29	56	18	18	1	2	9	64	103	36	28	5	58	24
PL,UA	19	14	9	27	66	19	11	13	38	36	50	59	30	20	12	4	46	6	28	48	15	13	74	14	112	5	1
DE,US	17	54	41	19	10	20	16	7	18	23	11	22	18	39	41	51	24	23	5	41	23	31	38	18	32	24	14
DE,FR	8	9	11	31	13	17	22	5	10	28	10	42	42	22	35	51	34	27	40	29	33	9	31	45	18	32	20
CN,KR	8	15	1	4	5	6	8			6	11			23	16	90	49	59	66	27	52	28	60	41	26		43
FR,US	29	13	3	1	21		7	3	3	7	26	28	5	31	60	8	20	26	76	7	10	73	59	14	47	6	28
FR,RU	18	15	29	10	2	32	64	11	3	2	12	20	21	16	16	27	6	9	12	48	19	32	15	100	28	17	20
DE,UA		1	8		24		28	13	56	23	67	73	4	54	1	14	50				8	23		2	9	4	112
FR,TN			3		33	31	24	9	28	9	22	10	17	14	29	10	13	22	14	24	75	63	37	43	16	10	
AU,CN	2	6	2	61	48	1	7	40	29	2	11	7	9	28	30	22	11	5	31	17	16	47	29	26	3	33	19
CA,US	4	8		4	7	7	10	3	3		115	8	4	20	6	29	15	30	48	3	16	30	131		7	25	9
CN,FR		1	4	8		1		9	1		12	12	9	23	11	10	13	31	27	23	14	46	126	18	23	82	10
CH,FR			4	5	21	13	8	18	10	51	7	29	33	31	12	27	34	8		62		24	28	11	42	13	17
ES,GB	4	39	134		33	15	1	1	10	2	32	3	5	22	12	10	18	10	19	20	27	49		16	3	6	
CN,DE	1	15	28	6	1	1	14	1	5		14	37	7	14	14	43	49	12	68	9	22	38	19	27	14	11	7
CN,RU					4	1					5				9	2	6	6	20	83	16	27	47	65	25	97	45
GB,US	7	2		3	6	11	5	3	2	67	22	5	25	22		16	25	1	17	6	13	37	29	13	32	17	71
CN,HK	2	3		12	5		14	10	43	9	4	15	4	8	2	26	17	5	51	34	38	49	20	3	31	18	22
CN,NL	9	30	35	74	44	30	17		4	7	6	9		10	5		5	31	3	10		28	25	13	10	8	12
KR,US	1	3		1	3	17	4	12	5	2	8	17	16	23	15	120	21	10	1		11	18	12	32	16	13	30
ES,FR	12	22	9	34	22	8	43	4	21			3	4	17	16	6	12	52	27		15	19	6	27	10	6	14
IN,US	24	3	14	4	34		21	14	10		3	20	10	22	24	15	5	2	4	1	55	24	22	9	15	28	12
FR,IN	22	5	13				3	14	10	4	1	2	1	13	25	13	67	10	60	17	14	3	14	12	18	18	22
FR,GB	16	8	13		23	1	12	13	17	6	36	8	17	18	22	4	8	18	25		50		12	2	5	16	14
DE,IN		3	2	12	11	9	25	11	9	20	21	2	20	6	41	5	23	24	6	32	1	27	15	11	6	6	4
DE,PL	18	16	12	21	12	35	28	13	16	9	19	14	13	8	16	12	8	5	3	7	1	3	3	35	1	3	12
PL,RU	10	3	10	1	17	28	14	8	13	38	8	12	28			3	1	31	8	12	4	30	5	4	24	7	11
DE,JP	34	13	2		71	6	29	23	2	1	1	1	1	2	7	5		9	4	15	1	12	23	22	11	23	6
JP,US	6	21	19	8	23	7	7	4	14	15	14	15	53	12	10	22	17	9	4	2	5	14	8	1	3		9
DE,NO	3									6	23		20	12	30	24	6	23	16	45	27		8		13		35
IT,US		13	3		28	1	24		13	15				21	56	6	5	24	8	4	5	26	16	8	1	4	7
CN,GB	3	1				3	11		6		2		6	17	14	1	8	49		4	9	20	9	50	43	14	15
AU,DE	27	5		11	9	13	5	13	6		2	24	25	6	4		5	1	18	24	22	14	7		4		15
DE,GB	30	5		4	3	1	2		2	6	1	41	2	2		12	15	18	17	11	15	20	1	4	19	17	9
ES,US	1			4			6	7	4	2			3	13	12	9	28	30	16	32	27	11	30	6	2	1	8
FR,MA	28	48	15	29	9	33		15	16	7					8	2		1			1	2	5	22	1	4	1
JP,RU		9	16	25	3	2	21	9	2	10	31	3		1		1				1		1	2	40	12	11	42
FR,PL	45	12	13	9		4	19	4	10	7	46	2	12	13	2		2		16		7	12				4	
GB,RU	1	3	7	19			1		1	1	7	2							3	15	13	25	111	20		2	3
AT,DE	10		6	11				4	1	13	8	7	18	4	4	1	13	9		18	15	4	21	25	41		
DZ,FR			2		1	13	1		2		1	12		16	6		1		3	21	3	15	13	4	22	47	47
RU,UA	27		29	23	10	7	1		4		5	3	7	6		14	16	19	3	4	4	6	29		3	7	
IN,KR								4			1	4	1	1	2	9	7	11	11		25	57	13	8	4	39	28
IT,RU	4	15			2		27	9	16		15	14		10	7	5		12	11	27		5			16	12	16
CN,SG				2		8		1	6	17		12	3	9	4	71	3		11		32	2	5	5	3	5	17
GB,IT	2	6			1	9	10	3	8		24	14	14	10	2	75	1	8	1	6	4	1		5		4	8
AU,US	5	14	4		3	13		6	1	8		15	42	25	3	3	2		8	2		12	2	31	12	2	
ES,IN			4			1						4		2		7	6	31	30	16		11	17	22	30	18	14
totalRaras	8069	8290	8744	8989	8363	7553	8619	7449	8729	7917	8328	8618	8508	8845	9383	9171	7612	8660	9150	10146	10475	11524	10624	10554	10301	9616	9690
