	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
US	69812.40	69061.90	72621.40	77527.90	78112.00	77652.90	84094.60	93987.40	97106.20	103665.00	105240.00	105491.00	102385.00	106235.00	113617.00	116442.00	107067.00	108673.00	102750.00	91753.20	95226.90	97863.60	96940.20	90775.20	94283.90	88925.90	78908.00
CN	4555.06	5579.40	5353.36	6423.56	8371.55	8641.44	11513.80	15113.40	18460.90	21771.30	26986.70	31125.30	39604.80	50247.90	68493.90	83572.40	96338.90	120731.00	140848.00	149409.00	164229.00	181547.00	204425.00	231899.00	222943.00	262058.00	302103.00
JP	38255.40	40526.90	42690.80	40778.00	48358.00	48134.00	47556.90	46183.70	48530.60	47003.70	46998.00	46073.40	47247.40	50587.00	47938.60	50137.10	52359.00	50681.80	47743.50	47446.90	44686.10	46617.40	45108.20	43697.20	43731.20	42743.20	37010.10
DE	23289.80	27983.00	26911.70	26661.00	26681.50	25265.80	24106.10	25089.60	26084.40	26709.10	25901.40	24454.40	26577.10	27785.70	31535.40	34117.90	34684.60	39777.40	37370.40	38009.00	37560.50	39933.40	39723.90	41280.00	41395.20	43237.20	36083.20
IN	5648.93	6199.56	6013.79	6729.62	7558.06	9460.53	10384.30	11766.90	14564.70	14777.40	17787.10	19817.80	19958.00	24067.70	31035.20	34265.40	40697.00	48882.60	56195.90	53295.90	53141.40	53991.70	47715.50	50849.70	45714.90	45710.90	54669.70
GB	13078.10	12991.80	13518.20	13721.10	21406.90	19951.60	18319.40	19922.90	20345.00	20522.30	21121.10	21778.90	22212.20	22458.30	24544.30	26388.70	24574.50	25339.70	24304.00	24660.70	25409.20	25427.60	22933.20	23045.60	21838.10	19738.60	19750.30
FR	16470.80	17619.00	18017.20	18180.10	19579.80	18187.20	18625.40	18568.20	17410.20	18614.00	20032.80	20331.30	19889.00	21940.10	23411.60	24096.60	23514.90	24573.00	23477.20	21188.40	21312.10	20602.50	20458.50	17770.70	18416.80	18333.50	16392.60
RU	4935.93	4190.95	4783.18	4235.53	6558.04	12099.30	11298.40	11624.10	11609.30	13856.50	12589.00	13959.50	12469.60	13575.50	13894.10	14612.40	13168.30	13278.30	13636.20	15767.50	16907.90	19099.60	20008.90	21468.80	20895.10	21197.50	21044.40
ES	9989.37	10475.20	10889.40	11052.00	11874.50	12397.50	13033.30	13640.10	13036.60	14464.70	14599.90	14865.30	15280.20	15812.40	16915.80	17666.10	18357.20	19600.40	17230.70	15835.90	16680.10	15371.90	15637.10	14483.30	13604.60	13969.00	12536.40
IT	11478.50	10403.00	11727.00	12729.70	13921.20	12988.90	14173.00	14281.90	15042.20	15006.50	12980.40	13738.80	15777.10	15803.90	16323.20	15500.20	14226.10	14886.50	14174.70	14387.10	12320.90	11914.70	11450.40	12265.50	12045.50	10809.30	11221.70
CA	7643.69	6078.98	7277.99	7424.67	8154.91	7722.08	7731.09	9296.60	9071.63	9886.85	10518.70	10133.30	12506.90	14137.30	15576.70	14413.80	13403.90	12665.10	11855.60	10575.70	11718.50	10614.90	9861.33	9563.30	8460.08	9459.99	7973.40
KR	2491.09	2704.75	4033.17	4135.60	5004.10	5769.89	6549.09	7083.38	6755.98	6584.57	6554.07	7743.82	8703.06	8175.51	13193.80	12540.40	11986.70	14054.40	15779.40	16966.10	15200.60	14599.70	14977.60	14457.70	14484.50	16478.40	14573.60
CH	5303.46	5252.97	6018.00	5683.82	6068.61	5350.07	4959.53	6561.61	7571.03	6128.94	6190.85	5812.59	7019.84	7308.87	8963.07	8158.23	8597.31	9779.45	10149.30	9451.06	9059.63	9127.74	7575.24	9479.98	9727.09	9247.17	7789.92
PL	2659.21	2825.51	3151.32	3022.51	3929.81	4196.12	4291.31	4136.17	4167.50	5171.84	4931.08	4517.52	4525.62	4710.48	5190.58	5553.56	5973.42	6938.59	7484.06	8102.15	9328.59	7630.17	8674.09	8272.38	8307.38	7282.23	7170.12
TW	2400.57	3061.69	2590.58	3487.71	3184.24	3668.61	3895.30	3815.92	4676.00	4703.52	4757.93	5112.01	5301.29	6393.95	7638.35	9170.79	9615.29	9429.35	9185.69	8396.81	8219.05	8172.44	6153.55	6804.94	7106.62	6188.94	5759.72
AU	2533.45	3225.59	3082.91	2138.54	3157.34	3594.66	3167.03	3649.85	3622.46	4380.34	4579.40	3903.40	4390.20	5159.14	6429.14	5491.92	5759.62	6208.84	6770.88	6309.39	5924.41	6134.05	6164.48	7245.03	6425.78	6350.71	5119.66
EG	1368.19	1597.57	1846.94	2234.07	3696.56	2850.71	3331.53	3940.20	3601.86	3236.09	3405.85	4436.32	4199.55	3680.82	4634.32	4255.72	5069.10	4774.37	4100.00	5235.91	5362.07	6672.28	7087.16	7904.77	8862.81	7348.01	7460.74
NL	2979.50	3279.90	2823.64	3046.27	3547.88	3379.28	2991.06	3473.50	3766.02	3524.40	2926.25	2356.65	2960.31	3103.50	3842.17	2936.51	3322.75	3174.87	3612.53	3415.31	3134.85	4070.67	3413.14	4142.69	3526.31	4047.18	3186.35
BE	2219.21	1772.20	1346.21	1969.29	1437.50	1857.40	2546.90	2548.28	2248.03	3388.42	2969.81	2964.91	3036.29	3260.53	3643.79	4335.26	4097.66	4458.71	4613.34	3793.15	3766.55	3437.16	4483.57	3931.98	3378.72	3203.72	2645.33
SE	2079.18	1847.38	2164.30	2156.50	2117.55	2231.47	3080.50	3198.64	3355.26	3129.27	3066.12	3372.27	2934.56	3021.95	3516.08	3012.62	4197.19	3663.88	3065.11	3227.13	3510.60	3353.54	3657.92	3541.01	3282.35	3309.67	3029.53
CZ	1604.95	1415.01	1383.89	1391.67	2064.95	1707.62	1582.74	1963.64	1913.35	1559.34	2543.31	2311.00	2169.92	2775.95	3466.65	3917.63	3817.45	3812.15	4228.15	4322.88	4214.26	5033.95	3946.23	3420.01	4400.50	5336.56	3978.00
SG	140.02	396.62	440.90	326.02	621.20	690.86	620.56	880.84	896.22	722.97	1307.15	1488.73	3441.83	5105.10	4937.24	6813.70	7066.13	7189.95	6855.56	6525.52	4947.69	5280.75	4972.05	3507.62	4265.73	4134.56	2985.33
IR	151.80	239.77	337.42	384.03	580.58	571.41	1008.27	973.77	1106.05	1399.19	1823.95	2026.25	2371.35	2503.50	4143.70	4726.12	5310.62	6099.18	5457.20	5201.96	5781.50	6547.67	5614.83	5095.78	5847.58	4567.57	3959.26
