	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
US	65061.60	64185.10	67242.40	71225.60	71372.30	71492.90	76571.50	84809.60	87369.40	94570.00	99054.60	100463.00	97182.80	101673.00	107866.00	111798.00	104035.00	105665.00	99370.10	88868.30	92472.10	94786.10	94301.10	88732.60	92338.80	87333.80	76791.00
CN	3756.11	4410.87	4436.07	5318.24	7018.54	7433.13	9869.84	12832.10	14999.70	18214.00	23170.00	27308.50	35125.80	45632.50	62960.80	77470.90	92524.20	116005.00	133735.00	142444.00	157711.00	174220.00	197602.00	224546.00	216576.00	255161.00	292838.00
JP	35067.00	36815.50	38992.70	36607.10	44067.10	44169.40	42523.10	40366.00	42681.80	41324.20	42799.80	42038.30	44210.60	47790.40	44884.20	47780.80	50745.20	48624.10	45853.60	46011.30	43531.90	45330.00	43861.40	42585.60	42519.20	41442.40	35976.60
DE	20950.60	24827.70	24616.50	23534.30	23813.20	22557.40	20838.40	22174.70	23038.10	22946.10	23583.20	22226.20	24769.60	26023.50	29525.50	32209.50	33483.90	38388.00	35633.10	36376.30	36292.80	38375.50	38368.20	40140.60	40417.30	42261.20	35279.90
IN	4864.41	5620.74	5162.71	5843.05	6855.86	8686.52	9646.70	10903.00	13093.90	13592.20	16656.20	18432.80	18653.00	22589.80	29235.40	32584.20	39641.00	47699.30	54563.10	51804.40	51541.70	52394.90	46157.30	49491.50	44227.90	44138.60	53107.10
GB	12463.30	12094.90	12847.50	12753.60	20241.40	18831.30	17173.00	18598.00	18839.90	18841.50	20113.50	20703.30	21427.20	21779.20	23538.10	25648.00	24020.30	24514.20	23649.30	23935.60	24755.60	24802.50	22190.80	22436.00	21310.60	19328.70	19345.20
FR	14522.50	15234.30	15916.20	16216.20	17316.40	16565.10	16803.30	16638.50	15718.50	16330.90	18268.00	19128.30	18816.00	20868.90	22161.50	22960.60	22483.30	23735.30	22679.10	20365.20	20600.20	19905.30	19859.80	17184.60	17922.30	17957.20	15978.50
ES	9483.35	9744.94	10153.70	10335.20	11273.10	11769.50	12268.10	12903.90	11961.70	13569.10	13930.40	14083.30	14673.20	15152.30	16193.50	16920.40	17942.20	19197.70	16783.90	15482.10	16394.20	15085.60	15277.70	14218.80	13290.70	13700.00	12373.60
IT	11052.70	9906.18	11157.90	12349.80	13294.80	12412.00	13300.70	13274.50	13958.20	13911.30	12410.40	13103.60	15380.80	15199.10	15912.60	15113.20	13863.40	14462.70	13827.60	13998.60	12027.80	11667.00	11256.20	12121.30	11866.60	10665.00	11038.50
RU	4321.32	3711.70	4066.10	3414.29	5089.01	9734.12	9629.53	9766.72	9614.13	11869.30	10568.10	11382.10	10497.90	11739.10	11937.00	12827.10	12244.60	12717.90	13043.10	15154.30	15815.80	17603.00	18798.00	19940.70	19789.20	20036.70	20018.80
CA	7258.13	5745.59	6768.28	6733.82	7431.19	7144.17	7015.56	8469.67	8009.11	8897.29	9763.50	9513.92	11870.40	13745.00	14949.30	13809.20	13026.70	12062.70	11465.50	10104.00	11359.50	10401.50	9486.70	9338.23	8293.88	9310.57	7831.46
KR	2216.14	2437.56	3658.04	3739.40	4243.33	5189.12	5766.11	6037.53	5857.24	5688.20	5644.03	6965.30	8038.32	7645.05	12502.40	11958.10	11434.60	13516.10	14986.80	16437.50	14596.80	13865.30	14474.50	13901.50	13899.80	15857.30	14059.60
CH	5019.21	4955.36	5766.71	5320.86	5603.89	5000.88	4602.07	6182.27	7266.34	5661.97	5870.75	5540.33	6722.71	7131.88	8738.66	7875.83	8349.29	9611.05	9960.56	9174.70	8908.33	8931.91	7377.45	9271.99	9580.65	9120.12	7697.10
PL	2253.22	2432.03	2783.72	2665.92	3358.84	3722.02	3895.19	3648.16	3593.34	4611.83	4502.72	3977.16	4032.36	4306.76	4795.09	5156.99	5663.72	6708.60	7158.18	7776.63	8972.52	7322.03	8348.79	7955.91	8004.80	6961.83	6909.87
TW	2127.40	2721.56	2327.28	3155.51	2844.17	3274.12	3261.59	3310.06	4136.72	4125.58	4265.49	4528.73	4765.56	5860.98	7056.67	8401.85	9216.04	9162.57	8682.58	8033.71	8018.01	7973.29	5988.11	6642.37	6991.26	6095.50	5602.24
EG	1269.24	1543.42	1757.61	2096.82	3602.89	2703.54	3168.38	3817.03	3445.44	3083.09	3252.05	4293.89	4052.95	3521.89	4387.25	4066.67	4959.10	4721.47	4015.34	5148.16	5298.27	6564.20	7033.91	7832.98	8745.04	7277.91	7385.54
AU	2324.78	3007.38	2786.38	1907.07	2990.53	3286.68	2822.45	3110.52	3192.83	3796.48	4085.86	3455.69	4094.00	4866.90	6071.98	5210.10	5516.57	5941.98	6327.69	6079.72	5653.14	5913.83	5966.70	7022.64	6247.54	6130.43	4945.68
NL	2694.22	3002.66	2597.42	2751.03	3229.73	3057.84	2671.52	3067.45	3288.63	3032.13	2485.83	2133.53	2709.56	2888.90	3704.35	2828.37	3181.29	3078.79	3514.58	3280.45	3079.85	3941.02	3287.33	4065.95	3445.39	3904.63	3076.82
BE	2072.47	1612.49	1221.03	1815.34	1282.39	1749.50	2341.06	2119.42	1821.21	2861.67	2734.45	2722.85	2910.52	3138.98	3176.10	4047.58	4013.42	4332.98	4479.19	3632.16	3722.00	3332.90	4288.67	3827.19	3336.62	3056.88	2612.59
CZ	1503.84	1260.65	1269.36	1261.06	1857.48	1532.76	1378.85	1778.86	1699.34	1354.88	2344.48	2114.31	2021.36	2666.27	3338.49	3717.51	3572.10	3704.94	4081.48	4174.19	4098.95	4971.59	3848.82	3292.02	4345.73	5230.84	3903.98
