	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
US	8015.34	7836.59	7926.46	7885.82	8150.44	8242.91	8599.73	8853.28	8395.96	8624.85	8540.73	8068.28	10552.8	10207.7	9952.85	9494.48	8456.16	9676.67	8343.7	7551.51	7517.83	8242.96	6878.95	6863.54	6828.52	6150.48	5127.62
DE	4703.32	5303.41	5660.87	5072.61	4709.11	5097.37	5118.83	4932.44	4787.13	4194	4012.58	4296.71	4821.05	5588.49	4733.99	4908.7	4761.9	5983.35	6101.58	5535.51	4728.56	5614.46	4857.8	5116.26	5144.84	5679.73	4672.06
CN	710.878	1161.25	995.967	1041.45	1380.78	1522.72	1574.37	2255.22	2399.69	2606.65	3508.35	3668.67	4093.86	4626.25	4652.08	5588.9	5033.54	6891.78	7317.86	7110.03	6966.34	7387.68	6860.27	7228.04	6521.5	7064	7518.87
JP	1983.4	2707.46	3154.66	2714.02	3748.96	3967.1	3818.69	3679.22	3736.82	3746.93	3621.76	3889.11	3896.04	4882.95	3584.92	3198.14	3164.9	4363.57	3693.22	3579.74	3136.43	2856.93	2758.92	2857.86	2490.95	2506.59	1989.11
GB	1462.31	1748.72	1749.83	1785.09	3254.99	2826.06	2946.35	3093.04	3248.41	2651.69	3477.12	3119.07	3114.56	3207.46	3292.36	3330.08	2700.5	3140.34	3122.52	2863.31	2412.94	2622.74	2485.11	2483.01	1870.3	1923.04	1738.37
ES	1691.4	2036.14	2048.2	1770.02	2314.5	2338.74	2733.92	2920.77	2596.08	2644.28	3103.13	3457.1	3314.34	3300.37	3316.47	3166.67	2969.08	3641.47	3294.92	2695.44	2454.89	2308.35	2113.7	1989.24	1784.5	1498.49	1428.4
IN	1162.13	1341.33	949.263	976.423	1248.28	1153.97	1338.35	1676.92	1746.45	1711.91	2056.76	2030.05	2077.75	2228.34	2681.63	2856.37	2808.34	3365.41	4252.89	3851.7	3423.68	3696.65	3171.77	3518.66	3178.14	2887.7	3633.09
FR	1431.17	1398.62	1462.33	1468.6	1582.32	1794.48	2215.3	2205.5	1895.58	2098.74	2356.12	2527.75	2168.65	2589.11	2491.71	2337.33	2283.21	2775.96	2714.61	2106.79	1832.62	2019.28	1796.51	1509.48	1846.38	1735.03	1358.11
RU	577.739	685.186	600.492	478.656	725.402	1322.1	1152.2	1356.23	1174.77	1535.17	1535.62	1570.4	1574.65	1791.73	1740.56	1721.68	1527.95	1785.33	1547.17	1613.93	1653.55	1913.29	1955.71	2001.99	2209.8	1883.61	2127.33
CA	1547.82	1147.72	1310.11	1102.24	1364.92	1354.06	1146.66	1396.78	1201.93	1626.11	1297.65	1153.79	1730.48	2133.84	2081.3	2040.19	1977.6	1832.49	1528.45	1273.36	1348.7	1481.05	1247.15	1232.45	791.628	965.805	943.952
IT	1441.65	1293.73	1396.55	1335.05	1831.99	1458.84	2086.08	1740.86	1868.28	1975.89	1664.17	1771.77	1618.45	1641.93	1582.86	1303.6	1200.81	1483.24	1429.92	1171.57	1113.2	996.071	1240.86	859.653	925.866	909.766	755.61
AU	577.167	540.069	790.289	485.483	1009.45	1030.74	894.129	908.798	961.616	881.916	1095.75	935.217	811.434	835.023	1013.49	844.093	927.468	836.614	842.62	838.496	729.82	843.021	688.959	779.297	864.366	597.742	704.749
CH	496.035	667.38	439.774	724.99	716.019	714.819	480.737	566.011	962.014	1033	969.72	728.379	1116.32	857.364	825.093	819.195	756.61	1004.92	1115.85	1014.3	765.982	640.965	681.103	639.426	791.862	901.837	687.681
KR	161.533	235.567	198.16	359.117	376.476	366.384	465.926	380.472	388.967	491.281	569.544	540.558	645.9	641.194	847.675	729.758	910.205	854.008	967.268	995.823	882.219	663.834	814.01	723.656	512.176	639.477	558.727
TW	494.683	653.05	582.657	648.852	316.074	472.921	443.212	465.302	631.855	580.65	654.235	624.693	825.545	856.948	767.794	899.247	668.373	762.799	611.427	535.512	485.545	528.702	377.224	404.722	280.981	319.277	263.389
PL	172.583	109.833	232.66	174	369.892	425.678	416.43	504.772	515.412	454.072	573.234	506.119	467.651	572.153	506.781	691.976	579.4	734.388	717.883	548.663	714.725	728.401	679.593	534.886	659.011	565.949	625.868
CZ	117.874	55.0706	59.3119	117.065	385.163	127.267	137.733	426.373	244.704	117.102	255.492	311.502	294.238	422.498	440.09	500.077	708.139	718.66	1178.55	863.043	792.758	664.418	597.841	559.331	523.677	626.91	368.949
NL	702.286	714.467	561.365	482.537	577.692	468.977	584.362	521.11	420.523	491.209	403.006	340.16	484.163	674.422	516.23	360.788	215.564	389.956	460.108	311.527	241.869	270.787	212.63	235.096	240.798	174.773	209.991
SG	56.2	67.3	53.95	66.6833	155.932	135.8	200.506	255.519	327.876	201.243	335.617	384.096	909.83	979.622	482.248	477.94	684.829	580.135	1045.92	625.059	348.842	328.693	350.395	232.073	629.407	515.752	110.516
TR	96.3333	133	87.8	140.65	96.8333	303.36	205.357	222.585	265.728	235.367	320.39	461.159	337.462	416.201	454.297	481.39	456.092	678.792	646.088	525.446	459.998	506.627	611.98	599.844	562.122	688.698	507.533
ZA	150.617	116.65	192.083	79.9667	208.533	151.733	203.35	212.206	288.2	253.368	182.625	443.021	287.959	332.493	333.533	409.798	317.818	571.996	482.642	440.27	480.62	533.524	446.18	404.154	473.376	342.254	321.883
EG	104.017	117.292	105.667	186.694	169.4	310.75	212.631	264.833	348.171	218.233	162	238.3	244.583	228.548	243.873	371.841	359.136	357.371	417.221	449.967	354.914	506.248	455.385	385.004	510.34	407.936	398.417
