	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
CN	691.538	916.102	756.239	782.915	730.248	568.828	669.021	981.869	1592.73	1343.84	1551.7	1793.6	1687.96	2197.45	2462.87	2571.79	2472.78	3107.44	3471.01	4172.82	4063.08	4351.24	3827.74	4260.73	3670.72	3709.59	3704.25
US	844.956	842.675	1048.69	1406.75	1110.62	708.819	992.584	701.72	804.287	777.174	931.887	872.181	924.836	907.108	1020.6	1060.5	627.955	807.78	820.718	746.046	901.567	919.431	837.114	736.66	951.904	648.811	763.4
JP	1099.04	1023.62	1303.29	1015.4	1109.22	1097.35	1028.92	1122.18	817.146	823.322	1030.06	870.43	948.325	714.253	680.337	663.995	396.695	453.928	349.628	325.498	366.794	452.572	452.93	451.433	527.126	378.145	397.132
DE	891.741	966.049	712.667	798.249	649.043	654.747	725.769	522.111	583.785	544.034	704.681	788.733	583.38	686.532	615.382	530.852	380.882	503.457	454.011	560.855	447.204	749.913	743.795	657.847	548.6	518.369	413.152
RU	260.81	255.371	282.228	294.185	399.296	752.595	426.761	369.353	405.704	500.358	659.719	724.907	506.271	523.412	698.776	692.609	479.233	412.869	393.897	548.537	802.404	799.248	924.917	1036.7	773	1009.86	953.313
FR	567.185	614.892	679.502	641.913	570.991	567.495	811.062	528.838	448.904	558.385	442.326	381.498	485.393	535.449	541.604	476.412	472.472	494.737	489.754	406.863	391.46	487.836	438.701	477.211	467.304	359.409	439.291
IN	391.79	398.254	425.386	420.607	370.256	206.221	284.954	249.737	519.503	403	358.839	419.137	389.918	472.529	546.791	416.222	337.719	395.473	607.917	577.587	734.388	722.087	735.601	645.722	673.62	748.894	949.237
GB	282.135	268.882	234.144	189.337	444.951	211.849	315.851	369.49	607.428	342.522	318.453	376.55	282.94	280.646	321.205	261.091	245.832	290.876	327.488	315.053	272.467	314.299	362.421	259.287	265.851	210.546	224.003
PL	235.293	192.098	253.492	208.685	318.562	293.504	267.419	224.228	277.365	162.627	265.081	271.156	320.448	126.72	181.283	217.618	215.18	146.977	176.926	190.431	212.936	138.569	226.9	196.301	243.321	131.359	145.336
ES	111.573	179.944	270.926	156.089	113.356	86.7	226.998	106.167	70.0103	144.617	222.565	179.61	168.412	135.679	183.912	212.795	193.99	206.48	158.704	212.685	186.76	186.829	223.832	207.131	189.613	151.645	127.048
IT	107.931	123.207	171.183	104.486	120.525	166.442	183.254	105.321	261.474	241.71	142.586	102.628	92.2071	200.183	166.919	97.1082	158.668	102.27	171.126	198.668	173.272	190.811	158.322	72.9897	103.752	79.6389	109.534
KR	60.3667	64.3952	55.3333	86.7333	133.875	121.417	119.464	127.935	54.2389	140.026	78.0985	169.375	67.3952	175.25	138.849	124.322	165.726	153.293	136.102	91.0417	163.295	304.662	119.763	168.47	147.353	162.507	131.48
CA	68.2381	83.2206	128.333	65.2071	128.805	146.85	121.878	104.771	59.1111	104.052	152.414	73.8525	134.538	126.224	129.091	175.163	215.241	311.127	183.282	261.353	112.296	116.743	165.006	79.2095	76.877	75.5594	54.9399
AU	61.35	38.1667	111.168	102.967	102.261	77.5952	144.667	74.7714	79.8833	135.517	105.887	99.819	103.449	114.19	222.739	95.6144	104.456	130.352	215.245	124.64	168.758	187.416	137.229	146.493	199.666	103.985	178.696
UA	103.738	84.7333	55.8889	87.7369	134.156	109.051	45.8496	74.6929	226.936	171.386	139.429	152.361	93.644	83.052	86.1833	121.964	99.4	61.0198	151.016	149.222	225.368	90.9206	89.8631	24.3123	118.234	89.5643	106.003
CH	94.8562	91.4017	89.2943	142.132	211.394	95.5905	125.078	141.6	149.113	152.029	164.055	89.6197	175.765	164.062	112.619	72.2473	63.1067	57.1273	46.4459	78.7162	92.4594	54.0541	93.9992	31.5343	101.191	143.956	40.3143
TW	147.5	213.117	71.0595	99.6786	81.3124	87.5143	55.4393	61.3889	77.2323	109.771	72.1182	155.493	165.15	155.044	196.578	322.217	102.134	87.9196	99.3357	60.2508	47.9778	49.8421	50.02	45.9944	29.7905	13.5516	62.1762
BR	58.6111	66.7667	113.087	71.2175	115.017	119.003	222.712	59.231	126.279	94.4631	119.533	76.0929	84.9167	79.9714	69.9338	60.3048	91.75	71.1976	75.3381	66.7833	125.867	106.937	84.8799	137.403	72.3997	107.961	54.9393
NL	119.179	119.227	115.849	89.4393	91.6849	69.0429	46.264	55.0948	60.4167	45.9452	98.8476	58.9952	128.605	75.4111	24.8016	13.9583	26.6274	26.5	13.6063	15.0298	12.2591	13.8056	13.1742	9.13333	13.581	3.2619	8.57468
PT	7.73333	13.2	13.4583	27.9167	29.9103	35.4226	47.5099	72.6667	68.5738	27.5286	69.7798	52.0881	43.9712	97.0473	46.5167	70.8182	49.846	91.3923	92.4441	36.4555	41.9563	76.2069	34.0317	19.9894	72.3905	17.7705	51.6586
