compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
CHKSe																													
CFHNOSbZn	1		1								1					2	1				1	1		2	1				
CClHORu	9	17	19	5	8	11	18	25	23	14	15	30	49	34	13	7	28	52	13	57	29	23	32	21	14	9	11		
AgBCHNOPS										1					1										1				
BCFHInNORu																							5						
CHKSi			1				1		1				6	2	2			3			4	2	3	5	3	4	1		
CClGaHIOSiSr																								1					
BCClFHNb			1					2																					
AuCClFFeHNOPS		1		2								2	1										1		1		1		
CClHNaOSTa				4																									
CHNaNbOPSi			1																										
CHKSm																		1											
CHNNaOPTb	1															1	3												
CHKSn			2				2	3	2		1		1											2					
BaCClHNO													3	8		2	10	3	1	1		4	2	1		1	1		
CClGdHMoNO																											1		
CCuHORbS							1																						
CClFHNOPPt	9	3	5	3	3	6	4	3	6	2	5	15	9	19	3	3	9	4	11	18	17	4	12	6	5	6	3		
CGeHNOTb																1					1								
CHIIrPSi			1		1		1								2														
CHNReSiU														1		1													
CNORuS																													
CHNNaOPTi																10									3				
AsCClCuH																													
CCuFHNNiO	1		2	1	1												1				1				1				
CClFHNNbO																		1	1		5	3	1		1				
CCuFHNNiP								1			1								4			2	1	1	2				
CClFHNNbP																													
CHNOOsZn						2	2	1				1																	
AuBCClHMoNOPSW														1															
CCuFHNNiS													2																
CClHNNdOTi																				1									
CHMnNaOSe	2																												
CGeHNOTi																													
CClFFeHPRhSb																											1		
AsAuCFHNOS																							1						
CCuFHNOSTb																2								1					
CCaCrO														1															
CHMnNaOSi													1								1								
CGeHNOTm																1													
CGeHOSW																													
CCuFHNOSTe				4																				1			1		
CHHoMoNO																1							2						
CClHKMoNOSe							1																						
CClGdHNNiOPS													1																
BCFFeHIOPS																							3						
CCuFHNOSTi																		7			1								
BCCoDy					1		1																						
CCrHMnNSi																			2										
CGeHIMoOP						1																							
AgCHNOTa																									2				
AsBCHKNOP																													
BrCHINOTb																										1			
CClDyFHNOP																							2	1					
BCFFeHIOPW																													
BCClCoFHPS																													
CClFeOTe	2																												
AgBCHNOPt																										2			
CCdCrFeHNO			1																										
CClDyFHNOS																		1	1	1	2	2	4	1	4				
CClCuHNNiOPS							1									1								1					
CHKOSiTiW											1																		
CFeGaNb																				1									
CHNaOPZr																					4								
CFeGaNd	2		1				4																						
CCsGdHNO				1		1																2							
BrCHINOTi																				2									
AgCHNOTi																1								1	5				
AcCHO																													
CClFHIrNOPTl			1																										
AuBrCCuHN														1	1	1						5	4						
AlCPd																		1											
CClCuFHMgNOS																													
BCFHMgNOSe																					2								
BrCHINOTl													1																
BCFHNPPdSe																		1							1				
BrCHINOTm																													
CHNiOSTb										1																			
BBrCClFHNPPd																			2		1								
CCoFeHNiO															4														
CFHLaN															1		5												
CFHLaO			1			1		2				1			1		2	1			1				3	1	1		
CCrHNNiOSe																													
CFHMgNOReS											1		1																
BCFHMgNOSi																						3	1	1		1			
CHNiOSTe							4																						
BCFHNPPdSi		2		1					1															1	8				
CGeHOSm																					1								
CGeHOSn	2		4	1	2	10		5	10	1	5	10	1					2											
CCuNO			1		4	1							2	44															
CGeHOSr																													
CFeOSeTe																													
CCuNS	1	1	1				1	1		1		2	5	5															
BCClCoFHINO																			6								2		
CHNiOSTm										1																			
AlCCuHLiMgNNaOSi										1																			
CCuOPd	2																												
CHKNOSSiU																			7	2	7	8		3					
AlBrCFOTe																	1												
CCoFFeHOSSi																2													
CClHInRhSi								1																					
CFHNOPSmZn														2															
BBrCClFHNPPt													2			1	1		2	1						1			
CHKNOSSiY																										2			
BCFHIrNPtS																													
BCHRhSe				1	2					3		1		1						1	1		1		4				
CHOPSSiTiW			4																										
CClHNPRuSW								1																					
BBrCClHNOW												1													1				
AlCHOPdSi											9																		
CCuNa							1																						
BCClFHNPdRh																		1											
CCoFeORhRu																													
BBrCClHNOY																								1					
CClGaHIrNP																								8					
CClHOSU							1							3	2							1							
CFFeHPRhSbSe																													
CCrHHgMoNOP																													
AuBCClFeGaHP																													
CGeHNOSiV																													
CClHOSV	1				1		2	1		1	1	9		2		2						1		1					
AuBrCHKNO																	3												
CHKOSeSi																					4								
CGeHNOSiW		1					1			1		1			2	3	3	3				4		1			1		
CClHOSW	2		3	4	1	5	5				1	6		1	3					1	1				4				
CCrHHgMoNOS																													
AgCClGaHPSi																1													
CClHHgOZr																													
CClHOSY					2																								
BBrCClFHOsP																							2						
BrCHKMoNOS										1																			
CCuNi											3							1											
CClHNPRuSe					9	2	2				3				1		2								2	1	1		
CHNOPPtZn	5						3						4		6				4					1					
BrCHMgPRh																									1				
CClHNPRuSi					2		3	8	6	2	1	1	3	2	7			2	1	5		1			3		2		
BCClFHNPdRu										2		2	2	1			1	1											
CClHOSc		2		1			1								15			2				5	2	2		4			
BCCsHHgSi																				2									
CClHNPRuSn												1										2	2			1			
CClHOSe																													
CHIORe	3	6		2		2	2	6			3				2									1					
CClGaHMgNOSi								1																					
BBrCHNaO																	1												
CClHOSi																													
CHIORh	1		5		7	16		16	3	3					1			2			3		6	1	1	3	17		
BCHNNbOP				2																									
BCFHInNOSi																							1				1		
AgCFHOSSiTi	2																												
CClFGaH													2																
BCHNNbOS																										2			
CClHOSm	3	1	2		2	3	8	2	5			5								1				1			3		
BBrCClHNOs						2																							
CClHOSn	9	40	17	8	19	22	16	10	14	18	17	33	33	5	20	20	28	8	13	19	10	10	11	15	4	9	14		
BCClFHOW																	1												
CClFeHNNiOPdS									1																				
AlCHNNaO					1	2	1		5		1	4				13		7		19	2		6	12	4	9	1		
CClCrFeHMnNO					2						1					1													
BCClFHOY															1														
AgAuCClHN					1															1		6		2	3				
CClFHNNbOPSi																													
CClFGdHNNiOS														1									1						
CHKTb																		1											
AgAuCClHO										1																			
CClHOSr																1	1		1		2	1					1		
CClFGaN																					2				1				
CCdFHNPRuTe																1													
CHIORu	2	4	1	6	3		4	6	5	1	3	3	2	5		1	3	3	4			1		2	5				
AgAuCClHS																					1								
CFHHoNOP						1										1			2	2									
CHIrLiNO									2		1									2									
CCdHILiNOS																			4										
CHNNdO	7	8	10	12	54	16	18	29	27	15	35	29	27	41	36	21	33	25	24	15	31	31	28	26	50	27	20		
CHIrLiNP							1						1																
BCGeHNOPPd																	1												
CHNNdP														1	1		1									2	1		
CFHHoNOS				1		1			1		1	2	3			1		1	3	3	1			3			2		
BCCsFHI														1															
AlBCClHNZr																2													
AsCClCuHMoO											1																		
CCsCuF																								1					
CHNNdS	1	6		2				1				1	1	1	2			1	1	3			1	6					
CHNOTiU																								1					
CHKTl												2																	
BCClCoHOPPtS											1																		
CHNOTiV	2						1		1				6						5				6	2	4				
CHNOTiW		1	1		2		1					13	1			1		1											
BrCFeHNOSiZn																						5							
CDyHKMnNO																			1		2								
BCCsFHN														1						1									
CHNOTiY																2										1			
BCCsFHO																													
CCuFeHNORb																	1												
CHNPSiYb					1	3		2		1				2					2										
AlCHLiOPRu																													
BCClHNOPdReS																													
CHNNiOVW																				2									
CGaH	4	3	8	2	11	18	16	8	1	6	6	15	11	11	4	4	6	3	1	3	1	1			1	2			
CGaI																													
AgCHIMnNPb																								1					
CHOSiWYb													1							1									
AsCHOPRe	3			2																									
BrCCeFHNOS																				1									
AuBCFHPPd																				1									
BCClFHINOZn																		2								1			
CCoFHNORhS																													
CGeHPPtSi		1								5			1			1							2						
AlBBrCHNO												1									2	2	1			1			
CGaN		6											1		8														
AsCHOPRh					2																								
AlBBrCHNP										2																			
CGaO				3	12		1									1													
CGaP											5																		
BCClFHOs																													
BCCoEr					1		1																						
CClHSeSiSn																													
BCOZn											1																		
CGaS				2																									
AsCHNOPtS		1																2											
CCrGaHNaO																1													
CGaV															1														
CHHoMoOP																											1		
CGaW									2																				
CHIrNOTiW																													
CFHPSSn																								1	1				
BaCFHMnNOS	2	1																					1				2		
AuCKN											1			1		3					1								
CCuFeHNORu		1										1			2														
CCuFHIMoNOPS														1															
BCFHRuS			1						5	1	1		2						1	1	1								
BrCCoHNNiO							1	3							2			1											
AsCHOPRu	2	1	2										1						2			3	5	1			2		
AlCClCuFFeHNOP																							4						
CFHLiNZr				2																									
AuBCFHPPt			1																			1			6				
CCuDyHNOP																				3									
BCCsFHg																													
CGeHOTa																						1							
BCClHHoN																				1									
BrCCoHNNiS	1																												
CFeHHgNSe																													
BCClHHoO								1																					
CCuDyHNOS													1			2							1						
CGeHOTc															1														
CCrFHNiO																				1									
CClCoFHNNaP																								1					
CCrFHNiP																													
CGeHInKNO																	2												
CCuDyHNOW																		1		1									
CFHOPSnW		1						1								1													
CCrFHNiS													2																
CClFHMoOSb																													
CCrHNNiOTb																				1		1							
CGeHOTi				1														1											
CHLiNOPSeW																								1					
BrCClHKNPtS																					1								
CCoFeInNSm																													
CCeHSe																								1					
BCFHMgNOTi																							4						
CHINOPPb																													
CCeHSi			1	2			4					3	1			1			1		1	3		1			1		
CHINOPPd	13	16	27	8	3	5	9	5	9	6	4	5	2	4	10	1	5	2	9	13	2	3	8	10	10	7	2		
CDyFeHNO	1			1				2		1	4			2	4	5	3	7	2	10	4	5	2	8		6	3		
CCuOS	1								2	3																			
CFeHHgPPtS							4																						
CDyFeHNS																													
CCuOV																													
CCuFHNPSbSi																					1								
CHINOPPtS	1	1										1		3	1							1					1		
CClIMoN																													
BCHLuN	1				1							1	2	2	7					3			1	2		1			
AsCCuHIMoNOP																								1					
AuCClHOOsP	1	1						2										1											
BCHLuO										1		7	2													1			
BCHLuP																									1				
BCClFHNPdSb													1																
CHINOPPr																2													
CHINOPPt	6		2		1		10		4	8	5	1	2	2		2	16	3	4	10	3	6	9	1	4	4	2		
BrCClFHMnNOPRu																										1			
BrCHNNaORe								1				1																	
CCdClGeHN																								2					
AgCClFHOPRhS									2																				
CHMnMoN					1																			1		1			
CHMnMoO					1									2															
BCHRhTl														1															
BCClFHNPdSi									1																				
BBrCHIrNO									2											2									
CClGaHIrOP																					2								
BrCCaHI																													
CHIOSU																													
BBrCHIrNP						2			1																	1			
CHIOSV													1											1					
CFeHRuSiTi		2																											
CHIOSW	1																					1							
CFeHHgNNiOS																													
AsCHNNaOSnW									1					1															
CHIOSY					1							1																	
BrCCaHN																						1				3	1		
CCsHNORe																									1				
BrCCaHO																		2	1	1		1							
BCFFeHPdSSe																													
CCuHNReSe								2												1									
BBrCClHNPd					1																								
CClHOTbTi																										1			
CClHNNiOPdS	1											2																	
CClHNPRuTi										1	1																		
BrCHNNaORu								4										1											
CClHOTa	8	6	2	6	4	6		8	7	7	8	14	22	4	17	6			2	1	11		1	1		1			
CFHNORhRuS														1			1												
BCCoFH	11		3	1			1	2	3			2	1	15	1	2	2		3	18	2	2	1	2	2				
CClHOTb								1	1		1	2	1		3				3				6			3			
CClHLiMgNOZn																													
CClHOTc	2					1		3		4	1				2			1	1										
CHIOSc							1																1						
AlBCFHIrO																											1		
BrCCuFHNOPZn																						2		1					
CHIOSe																													
AlBCFHNOPRh																						4							
BrCGdH																1													
BCCoFN																													
CClHOTh															1	2	2	1	4	1							7		
BCCoFO								1																					
CClHOTi	44	56	33	35	44	20	28	58	35	43	51	37	33	40	36	16	15	35	20	31	19	14	7	10	10	5	7		
CHIOSi																													
BrCGdK		2																											
CCsHNORu												1																	
CFHHgNOSZn											1																		
AsCClCuHIN																										1	1		
CClHOTl									1			1		2															
CClHOTm						1		1	1		1	1			1														
CHIOSm	5	2	1	5		4	1	13	4	1		2		2			3			1	3	2		3	7	3	4		
BCClFHPW									3			3														1			
CHIOSn	6	7	4	1	1	2	8	7	2	1	1	5	6	4	6			4		2	1	3	14	2		3			
AuCHNNiO								3																		2	2		
BBrCClHNPt																1													
AuBCCuFHNO																							1				1		
AlCHNNbO																1													
AuCHNNiP												1										1					2		
AuBCCuFHNP		1														2	3			2					3				
CHNNaOPVW																							1						
BrCHNOSnZn																				1									
CHIOSr															4		4									1			
AuCHNNiS										6		1							2										
CClFHNOPRe		2	5	7	7	1	1	5		8		5	4	9	11	20	4	1	6	9	6	2	4	11	2	8	1		
AuBCCuFHNS										2																			
AlCHLiOPSi			1	1																				5					
CClGdHNSb				2																									
CClFHNOPRh	10		9	2	11		7	15	22	23	10	1	5	5	5	12	4	18	17	23	12	11	12	5	8	21	3		
AsCHOPSW																													
CHIrLiOP				1			3											1											
CGeHNOVW																			3										
BCFHSiZr	17	5	6	14	16	23	17	7	23	4	15	11	4	7	2		5	8		1	2						2		
CClHNORbTi																							1						
BCClFHPd		1					1		3		1											1	2						
AgAlBrCClFHOSi																							2						
CFFeHPPtSeTe											1																		
AuCHNaOS							1																						
CCdHLiN																													
AuBCHIP																										1			
CFHNPPtSSb															2														
CCuFeHNOSe												2	2											4		7			
CClFHNOPRu	9	34	11	21	40	33	41	44	56	41	57	47	59	49	41	45	54	76	68	81	103	98	77	65	68	50	44		
CHNNiOWY														1						2	1								
CGeHPPtTe		1																											
BCClHNSiU		1								2																	2		
AuCFHPPd	1							1												1		1							
CClDyHNPSi						2																							
CFHPSTa				1																									
BCClHNSiV																													
CHKOsP											1																		
CClFHIORu																						1							
CClCuHNPSZn											1																		
CCdHLiS																				2									
CCaClFFeHNOPPdS														3															
CFHNPPtSSe								1																					
CClFHNNdO														1	1	1		1	1										
AgBrCCoHNOP															1														
CFHPSTc																													
CCuFeHNOSi																					1					1			
AgCFHOSSb							1		1			1																	
CGeHPPtTi												1																	
BCClHNSiY							2																						
AgBCHNORe						6																							
