compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
Ac											1		1	1		1							1	1			1		
Ag	184	270	269	196	416	413	589	410	565	718	677	728	625	696	565	682	536	928	755	752	794	898	692	690	828	787	621		
Al	454	479	627	698	858	845	839	726	763	798	910	896	755	860	961	899	786	888	943	873	684	871	982	989	1077	1087	936		
Am		4		1	1	1	5	1	3	1	4		2	3	6	17	1	1		8	1	4	6	9	4	8	5		
Ar	4	6		2		5	5	14	26	17	8	15	17	8	12	19	1												
As	249	190	170	145	226	189	287	188	172	271	259	190	248	217	180	163	160	182	154	113	161	162	179	170	125	259	196		
At					1					1				1							1		16		1				
Au	485	638	444	353	575	506	448	820	814	899	918	729	838	1133	1326	1259	1126	1684	1655	1344	1424	1630	1360	1514	1774	1459	1552		
B	2793	3040	3250	2597	3293	3890	3732	3638	3763	3789	3810	3600	3360	3801	3687	3618	3665	4773	4294	3929	3694	4185	3650	3568	3518	3607	3232		
Ba	55	44	29	32	17	36	30	24	30	50	11	22	23	34	36	35	36	39	37	32	22	51	67	48	37	33	36		
Be	22	79	30	7	8	28	41	108	53	68	138	102	70	41	54	46	13	15	31	14	8	14	36	91	75	68	10		
Bi	66	66	79	117	142	63	110	113	141	98	69	113	93	189	122	177	154	203	209	202	172	183	161	189	294	272	450		
Bk																					1	1		2					
Br	1191	1235	987	1008	1166	1292	1311	1413	1342	1525	1588	1559	1594	2019	1665	1881	1778	2472	2691	2287	2379	2498	2320	2665	2258	2276	2146		
Ca	36	38	30	58	24	35	29	45	49	31	42	62	103	93	77	182	129	142	101	99	101	157	131	152	157	119	124		
Cd	165	121	139	158	232	194	247	276	240	262	286	285	248	349	385	293	279	311	404	307	338	264	270	202	240	256	224		
Ce	49	26	53	69	80	54	79	88	113	128	131	96	108	126	120	156	79	177	156	148	130	203	122	164	121	159	138		
Cf																						1	3	3	1				
Cl	6231	7133	7685	6634	8890	9398	9800	10737	9832	10117	10602	11174	10539	11617	10975	11096	10523	13792	14068	12341	11667	12109	11720	11791	11253	10814	10098		
Cm							4		6	2	1		6	31	2		3			2		2	3	2	4				
Co	1570	1749	1762	1495	1808	2120	2190	2466	2214	2045	2182	2376	2079	2212	2329	2305	2274	2710	2603	2241	2369	2646	2643	2492	2684	2690	2329		
Cr	823	863	903	831	799	1008	963	949	783	867	812	997	886	784	885	741	683	723	661	597	535	535	637	586	524	396	360		
Cs	52	44	36	50	31	69	38	39	72	52	85	52	48	61	54	49	58	58	42	37	48	51	62	41	47	78	101		
Cu	1506	1554	1716	1639	2114	2687	2553	3067	3106	2841	3176	3319	3224	3589	3772	3557	3077	4007	4047	3676	3315	3926	3596	3872	3635	3265	3371		
Dy	39	79	27	62	79	74	68	67	63	81	88	77	79	95	116	139	147	233	201	287	278	362	375	348	394	380	388		
Er	28	44	39	98	67	80	105	59	122	102	112	91	99	95	140	117	84	101	126	122	113	135	135	125	126	104	99		
Eu	56	87	108	120	184	139	187	194	182	204	253	232	307	315	274	332	321	353	384	382	336	380	326	302	412	307	339		
F	4308	4469	4836	4497	5509	5590	6091	6389	6463	6404	6592	6729	6187	7096	7228	7580	7359	10282	9732	9265	9086	9844	8799	9296	8950	8769	8271		
Fe	3254	3855	3433	3933	3665	4840	4216	4626	4573	4473	4730	5053	4925	5166	5153	5569	4566	6751	6425	5702	5339	6141	5521	5403	4974	4975	4566		
Fr												3	1																
Ga	250	287	316	305	318	294	272	356	259	312	370	376	426	311	371	322	296	313	290	321	368	376	312	361	279	521	336		
Gd	75	67	89	95	130	100	117	155	144	107	213	129	162	168	203	205	200	322	257	277	249	263	250	270	309	257	236		
Ge	107	80	113	108	122	136	91	174	102	136	144	110	105	165	111	167	260	164	164	133	224	215	169	260	139	165	157		
H	26306	28041	28647	27033	32769	34149	35526	37399	37252	38021	39707	40171	39117	42047	41113	42961	38298	49434	48055	43790	41533	44004	40395	41314	39697	37597	35294		
He			2					11	1			7	2																
Hf	84	163	156	102	94	82	83	136	162	234	150	170	324	195	136	145	108	199	118	66	113	114	103	104	75	74	56		
Hg	326	283	274	191	319	312	219	330	269	231	250	231	205	257	243	248	269	291	259	370	216	223	175	183	230	164	156		
Ho	40	45	41	77	53	54	51	53	52	36	47	41	63	41	49	68	47	76	71	91	63	99	73	73	80	75	63		
I	997	826	885	842	950	1003	1031	1021	971	911	1133	974	912	1209	1115	1239	1176	1435	1324	1362	1220	1316	1224	1236	1347	1329	1203		
In	177	130	153	141	130	148	194	155	134	157	180	172	110	194	166	124	113	141	122	152	112	150	121	204	138	131	95		
Ir	670	727	662	764	804	730	1024	903	1119	1188	1321	1146	1325	1395	1607	1613	1733	2293	2146	2239	2219	2544	2076	2197	1999	1864	1628		
K	193	205	251	203	289	294	320	306	295	357	351	454	352	373	495	491	469	607	618	616	555	668	754	772	794	1042	737		
Kr	18	1	2	8	15	4	3	14	37	9	41	16		4	4	20				1									
La	102	123	127	111	164	121	140	174	210	196	219	202	220	163	222	225	148	175	164	184	148	169	178	149	243	150	174		
Li	483	448	400	463	494	493	494	422	481	528	435	456	492	507	562	516	579	788	626	519	453	664	564	514	753	557	390		
Lr											1																		
Lu	44	70	58	73	86	76	93	119	99	83	115	119	138	112	131	129	99	171	110	142	83	125	83	113	137	184	105		
Mg	84	84	85	53	149	136	123	197	126	221	156	121	117	253	319	333	273	356	332	458	451	362	347	492	289	324	296		
Mn	946	1004	800	707	1030	1072	769	1086	1107	1217	1041	1269	1143	1253	1315	1547	1012	1031	1127	1134	927	1100	1092	1182	869	999	895		
Mo	1288	1344	1321	1249	1372	1635	1510	1552	1325	1343	1629	1521	1196	1394	1163	964	1036	1223	1002	1128	937	812	1007	844	739	617	541		
N	16034	16772	17957	16691	21390	23142	23986	25941	26120	26943	28640	30087	29156	32513	31519	33339	30784	40298	39494	36184	34543	36876	33683	34704	33621	31830	29891		
Na	307	285	260	311	365	320	349	376	510	433	358	360	463	422	452	505	404	581	528	515	558	499	517	402	525	512	484		
Nb	159	268	238	305	340	484	179	176	112	192	171	176	257	228	231	223	80	116	159	111	175	108	94	84	98	63	83		
Nd	109	69	104	112	160	117	137	151	184	124	161	189	139	189	169	124	166	146	119	130	141	138	156	143	172	142	172		
Ne				1			2	9	11	1		7	2			2										1			
Ni	1438	1408	1342	1241	1831	1927	2029	2491	2213	2339	2223	2774	2321	2716	2577	2792	2366	2961	3073	2730	2753	3052	2841	2840	2644	2559	2528		
Np	3	4	4	2		5	17	4	6	13	5	15	13	22	10	5	14	1	1	7	8	13	19	21	14	28	17		
O	17849	18252	19081	18375	22666	23412	24275	25503	25345	26137	26894	27530	26567	28974	28475	29396	26948	35181	34536	30782	29445	31137	28977	29404	28162	26448	24623		
Os	773	728	1066	791	1015	766	707	679	762	710	734	867	532	519	633	629	330	492	434	320	585	293	315	296	317	347	332		
P	8774	9749	9790	8878	11014	10744	11333	11250	11418	11326	12049	11709	10818	11956	11346	12005	10559	13836	13359	11951	11455	11755	10743	10866	10260	10005	8813		
Pa	1	4		1										1	5	3													
Pb	85	114	79	105	133	71	175	243	93	138	142	182	190	165	158	192	114	156	140	104	92	70	75	123	98	94	174		
Pd	1883	1949	2064	1832	2183	2429	2852	2784	2384	2777	2920	2699	2862	3127	2672	3300	2521	3463	3489	2862	2431	2624	2639	2606	2417	2111	2069		
Pm					4	1	11	7			1			1		6								1	1				
Po						1				5				1															
Pr	31	62	36	40	77	62	62	74	77	55	80	77	66	56	72	64	54	74	71	65	61	66	95	52	59	35	58		
Pt	1661	1867	1904	1660	2334	2087	2542	2382	2168	2483	2652	2423	2564	2771	2575	2479	2709	3248	2730	2645	2180	2122	2045	2138	1945	1957	1748		
Pu		4	6	3	11		13	2	8	2	4	17	44	5	17	4	10	3	4	2	11	12	8	7	23	8	6		
Ra													1													1			
Rb	46	37	17	5	20	8	17	18	19	15	18	51	10	33	25	26	16	17	13	19	23	23	33	20	30	26	41		
Re	1029	850	1222	928	1249	1260	1177	1124	1283	1142	853	964	941	976	950	983	803	991	953	786	869	856	647	875	776	781	697		
Rh	1139	1191	1502	1175	1489	1588	1691	1515	1841	1595	1641	1476	1481	1738	1495	1690	1480	1658	1473	1564	1170	1264	1299	1155	1199	1279	1037		
Ru	2908	3517	3275	3126	4156	3503	3744	4413	4513	4561	4849	4998	4833	4721	3998	4577	4210	5229	5343	4306	4548	4086	3602	3787	3610	3186	2722		
S	4707	5048	5280	5033	5999	6219	6677	6821	7141	7677	7707	7758	7296	7742	7974	8308	7730	9916	9937	8779	8097	8620	8256	8641	7937	7362	7282		
Sb	152	143	160	216	335	256	299	309	232	320	349	266	248	232	283	330	211	387	411	270	408	266	346	258	371	363	319		
Sc	39	8	66	81	48	57	117	86	98	118	152	151	169	110	190	171	103	139	100	70	93	155	138	128	127	101	90		
Se	298	336	271	294	388	499	344	386	410	360	487	369	390	427	530	493	416	498	488	431	346	400	468	431	373	264	406		
Si	2122	2128	2466	2459	2177	2399	2633	2701	2431	2312	2226	2453	2296	2365	2642	2303	1990	2649	2585	2594	2301	2593	2016	2269	2142	2379	2134		
Sm	118	133	195	200	259	176	140	177	157	181	106	173	134	174	175	171	124	153	146	161	162	162	163	139	167	114	248		
Sn	1086	974	873	1128	1012	1021	1033	980	925	985	1050	990	1037	832	1080	993	1216	1680	1574	1631	1442	1459	1277	1300	1009	1060	1173		
Sr	41	16	31	34	17	8	7	22	18	6	9	16	22	35	32	36	42	73	27	50	25	46	51	72	50	48	51		
Ta	238	220	294	244	259	231	245	234	149	192	275	182	228	153	189	243	125	127	151	120	86	114	59	90	53	79	49		
Tb	26	46	53	66	74	49	84	112	112	87	112	140	142	149	136	175	165	266	204	260	230	268	282	218	305	199	187		
Tc	123	31	48	24	25	42	36	45	48	107	45	49	39	38	46	44	51	106	80	69	97	110	71	57	64	107	89		
Te	76	159	76	120	125	146	115	124	121	83	101	135	149	141	104	57	88	121	129	146	64	71	109	85	62	33	105		
Th	24	37	20	41	20	35	3	50	57	29	29	55	50	63	52	63	53	75	82	110	110	116	109	126	46	99	95		
Ti	789	829	931	971	885	850	812	1061	988	1142	1290	1124	995	1065	893	830	686	698	707	650	541	685	712	628	700	348	351		
Tl	41	74	62	38	59	96	117	73	66	55	69	60	47	65	76	45	38	44	51	39	24	57	31	29	23	12	14		
Tm	13	16	24	42	35	42	50	39	30	58	37	57	29	40	20	62	21	26	34	40	41	51	30	32	45	33	34		
U	90	97	94	152	151	129	215	230	312	207	291	235	375	440	462	441	283	479	509	306	409	398	447	331	391	401	398		
V	425	385	312	390	491	457	505	593	507	490	732	582	721	602	565	566	552	589	689	461	386	471	491	485	430	416	390		
W	1079	1180	1126	1303	1146	1324	1014	957	837	1065	1087	1223	718	973	741	870	659	797	724	663	704	567	368	586	580	578	474		
Xe	3	2			11		3	6	5		8	7	1	2										1					
Y	188	181	207	125	218	177	284	229	180	175	244	295	338	244	364	296	288	383	289	309	263	263	247	240	227	248	222		
Yb	66	71	97	135	169	162	224	222	241	181	221	275	176	242	198	173	208	287	195	219	162	214	214	212	179	184	227		
Zn	678	652	729	789	1019	1361	1452	1473	1485	1645	1807	1751	1996	2341	2456	2459	2294	2748	3004	2741	2567	2493	2150	2246	2315	1939	1986		
Zr	692	922	1025	846	966	845	846	821	1142	1082	693	753	672	762	557	555	439	655	455	410	463	415	296	273	223	257	213		
