compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
BIrTm																													
CClFHNaNdO																					1								
BDyFeOTi					1																								
CeCoFeSbYb										9	2			3								1							
BEuLiOScTb																						12							
AgGaPdYb	7																												
CaMgMnOPTb																													
BaCuTbTe																				1									
CClCrHNOSm																		2		1									
CeLaMoNdNiPr								1																					
PbPr								1													1								
CaCuGdOSrTl				1																									
BiClErOYb																				8							1		
CoGaHTb																										2			
BrCHNOPSTb																							1						
AlCeGdY																													
BaCuLaOPSr		1																											
BCClHLuNSi							2																						
GePdYb					1			1		1											1			1					
CClFeHLaNOP														1															
CCaClHNNaOYb										1																			
AsNdOU						1																							
CoFeHoNdTb																				5									
CClCoDyFHNOS																				3							1		
CCrNdO		1		2																									
BHoRu																													
CClDyEuHO															1														
BiCGdHNOS																							1						
HInYb																								1					
CuDyNiSi																													
AsNdOW			1																										
BLiNdORb																					1								
EuHKNaOSiW																										1			
CeGdOSiY						1									5														
DyFRb									1											1									
CClFeHLaNOS					1							2																	
CoOScSr									4				5													2			
BiEuFeNiO																										6			
CoLaN				1																									
BaCeFLi					1																								
CeFeMnNiOZn																													
CoLaO	2	3	4	5			2			4	2	3	1			3	2	2			3		7		6		3		
NdOPbTiZr		6										5			3														
CsGdOSb								1																					
LuNaOTeZn																										1			
CoLaP									4							1													
CDyHKO									2									2	1		3			2					
GdSSiZn																								1					
CeMnOPdPr																										1			
CGeHHoNO																1						1							
CeCoFeMnO																											3		
CuMoOSrYb																													
CRuY						1																							
CoLaS																													
BiCaCeNbO																											1		
AsCCsHNaOWYb														2															
BOsY												1																	
CaHLaNaOPSi					1																								
DyLiMgMnO															1														
FeMoNTb	1	2	1																										
BCeGaLuO																									11				
CGeHHoNS																			1										
FeGaNdSm					7																								
ErHTe																								1					
CoLaV		5													4														
EuHNbOS													2			1													
CClFHNORuSYb									1						1														
DySiZn																													
AlSmV			1																										
BaCaNiOY			1					1																					
CdFNaYb																													
CoLaY																													
AsLaMgSi																						1							
BiNaOSmSrTi																										4			
ClGdHLuO																								1					
BaCuErOPSr		7																											
CFeGdHNNiO																			2	2		1				1			
