compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
Ag	65	45	42	47	51	75	21	40	23	88	88	56	79	133	65	48	87	48	166	56	44	55	101	67	30	74	36		
Al	331	541	407	274	280	278	329	377	340	299	438	391	445	504	436	441	423	261	455	495	470	584	453	691	586	656	526		
Am												5		2	1														
Ar							4		4	58	16	1			7	3	1												
As	16	50	91	61	38	192	53	28	33	33	21	35	75	166	246	163	50	38	126	113	51	59	64	68	40	29	30		
Au	41	53	23	29	18	56	10	33	17	49	19	52	50	68	37	36	33	15	44	49	44	25	49	9	39	46	25		
B	461	443	422	435	474	442	433	296	497	397	409	367	431	408	482	483	417	425	287	496	475	599	486	615	644	643	552		
Ba	853	801	756	789	784	507	562	457	453	390	375	370	522	497	596	514	330	290	351	479	638	741	739	766	596	741	660		
Be	3		10		1	1	9		4		1	5						1	3				25	3	2	1	2		
Bi	263	203	252	170	207	153	163	169	116	161	150	167	227	339	244	431	266	152	283	371	337	510	542	603	410	531	520		
Br	108	75	66	64	85	39	63	64	69	59	65	88	66	99	126	77	69	93	108	78	83	95	134	136	158	132	205		
Ca	552	642	632	744	546	404	411	411	436	349	447	525	473	544	545	625	429	399	559	764	754	814	523	753	577	630	725		
Cd	74	54	32	26	17	46	24	22	38	31	41	33	39	59	22	69	46	44	86	73	51	68	103	69	63	63	42		
Ce	681	744	698	615	662	445	486	518	566	673	870	732	655	796	871	900	528	715	1015	886	1096	1011	771	1026	847	736	623		
Cl	343	335	547	458	488	376	680	450	618	420	466	472	655	454	625	350	507	697	648	733	653	661	687	612	884	544	649		
Cm													1	1		1													
Co	364	471	502	635	492	371	412	474	466	544	510	545	551	401	532	435	320	237	359	371	361	480	494	416	498	509	423		
Cr	60	133	196	143	102	182	175	74	102	124	137	146	163	123	100	71	156	70	69	96	96	155	133	213	177	222	178		
Cs	55	61	67	24	3	25	27	54	43	15	30	23	44	41	66	30	45	18	49	24	35	70	21	87	94	47	84		
Cu	1614	1496	1117	1058	1202	744	627	726	747	549	496	603	439	383	449	372	335	229	242	382	291	270	261	292	237	241	267		
Dy	313	353	298	288	333	236	236	231	330	294	274	361	315	346	411	440	476	551	603	749	772	824	931	819	862	806	819		
Er	209	195	305	290	265	280	271	227	402	350	330	353	347	388	629	454	395	410	385	481	474	577	497	486	415	509	530		
Es																													
